xs,ys
307180.1072840202,3390549.5736871827
307180.9542631281,3390511.7560700173
307183.0913251508,3390476.3764153467
307186.41722884285,3390443.2138647013
307190.8307329589,3390412.0475596106
307196.23059625353,3390382.656641604
307202.5155774813,3390354.8202522118
307209.5844353969,3390328.3175329627
307217.33592875476,3390302.9276253874
307225.6688163096,3390278.4296710156
307234.48185681127,3390254.602811325
307243.5534488348,3390230.5655442444
307252.3798626956,3390206.822490959
307263.1775089852,3390183.177508938
307273.8770840097,3390159.434455654
307282.4092840751,3390135.3971885727
307290.99051977304,3390110.8695651656
307297.4534161445,3390085.6554429033
307303.9163125158,3390059.558679256
307309.79078129644,3390032.3831316913
307317.1951618129,3390003.9326576795
307323.96207910613,3389974.011114692
307329.60117685044,3389942.422360197
307334.6518470041,3389909.9999999483
307339.6534815252,3389877.5776397
307346.8224910054,3389847.665903839
307354.0895717508,3389818.4897024664
307361.0624387008,3389789.9509643167
307367.348806795,3389761.9516181243
307375.2631578901,3389734.393592626
307382.83425955736,3389707.178816555
307389.7678980013,3389680.2092186483
307395.7698594266,3389653.3867276376
307400.5459300379,3389626.61327226
307403.80189603986,3389599.7907812493
307405.2435436371,3389572.8211833416
307407.2834259516,3389545.606407271
307408.0483818195,3389518.0483817724
307410.049035628,3389490.0490355818
307411.51029747823,3389461.5102974316
307412.33409610525,3389432.3340960583
307412.42236024386,3389402.422360198
307411.6770186289,3389371.677018583
307409.9999999954,3389339.999999949
307409.9999999954,3389309.9999999483
307409.9999999954,3389279.9999999483
307409.9999999954,3389249.999999949
307409.9999999954,3389219.999999949
307409.9999999954,3389189.999999949
307408.3229813619,3389159.999999949
307407.57763974695,3389129.9999999483
307407.66590388556,3389099.9999999492
307408.48970251257,3389069.9999999497
307409.9509643628,3389039.9999999492
307411.95161817124,3389009.9999999492
307414.3935926727,3388979.999999949
307417.1788166021,3388949.999999949
307420.20921869425,3388919.999999949
307423.3867276841,3388889.9999999483
307426.61327230657,3388859.9999999483
307429.7907812964,3388829.999999949
307431.14416475507,3388799.9999999483
307433.1840470696,3388769.9999999483
307435.71428570966,3388739.9999999497
307438.5387381451,3388709.9999999492
307441.46126184566,3388679.9999999497
307444.285714281,3388649.999999949
307446.81595292117,3388619.999999949
307447.1788166021,3388589.999999949
307447.78685844573,3388559.999999949
307451.0526315743,3388529.999999949
307453.42595619016,3388498.322981315
307457.31938541547,3388467.5776396994
307462.4387054547,3388437.665903839
307468.48970251257,3388408.4897024655
307473.50114416017,3388378.2739456827
307479.78751225426,3388349.5292578754
307486.9565217345,3388322.059496516
307494.6158875403,3388295.668519073
307500.6963059777,3388270.1601830153
307507.4141876384,3388245.3383458136
307514.2791761967,3388221.006864938
307523.5076822444,3388196.9695978565
307533.0304020875,3388173.030402041
307542.4550506655,3388148.9931349605
307551.3893429179,3388124.6616540835
307559.44099378417,3388099.839816882
307566.21771820384,3388074.3314808244
307571.3272311166,3388047.940503381
307577.0840143791,3388020.4707420208
307581.51683556254,3387991.7260542144
307584.3314808714,3387961.5102974316
307589.6175220614,3387932.3340960587
307592.8931023163,3387902.422360197
307595.7371690048,3387869.9999999483
307595.4429552095,3387837.577639701
307596.39424648124,3387805.9888852057
307594.40339979925,3387776.067342217
307591.3435763275,3387745.9398495727
307584.80222294404,3387718.0189603935
307579.4573389951,3387690.3334422503
307573.0925138888,3387663.5207583657
307563.5894082987,3387639.797319334
307553.213468449,3387616.9957501935
307541.6214449119,3387595.5573716387
307526.8911408911,3387577.50245173
307511.4841451408,3387560.467472979
307495.2533507636,3387544.697613548
307478.1497221267,3387530.3399803345
307460.2222948629,3387519.1206276044
307441.61817586987,3387508.3818240743
307422.58254331007,3387498.0745341103
307403.45864661195,3387488.0516508147
307381.9810395508,3387478.0679960256
307360.26806145336,3387467.7803203147
307336.1523373605,3387459.454069906
307311.850277864,3387450.9709054735
307285.2925792696,3387444.4982019756
307258.79372343444,3387437.819548821
307230.38247792935,3387433.004249703
307202.47139587626,3387427.7378227664
307173.18731611175,3387425.6685190722
307142.33409610525,3387424.4818567643
307112.42236024374,3387421.863353986
307081.677018629,3387419.7842431655
307048.3229813618,3387420.215756732
307017.5776397469,3387418.1366459117
306985.98888525204,3387417.1951617673
306956.0673422641,3387415.076822441
306925.93984961946,3387413.850931626
306898.01896043995,3387408.5943118157
306870.3334422967,3387403.053285336
306845.19777704665,3387395.011441597
306820.5426609957,3387386.6361555555
306798.5845047355,3387375.8090878865
306777.1559333069,3387364.795684813
306758.3752860365,3387351.5756782745
306739.97711670015,3387338.512585761
306723.9816933592,3387323.6842104755
306708.02549852425,3387309.5521411714
306694.0307289917,3387294.292252319
306679.53579600714,3387280.464203937
306664.68780646805,3387265.3121934757
306651.2128146406,3387248.787185303
306636.4530892402,3387233.546910703
306622.0366132677,3387217.963386676
306607.91435109056,3387202.0856488533
306594.03726707614,3387185.962732868
306580.356325592,3387169.6436743527
306566.82249100547,3387153.177508939
306553.3867276842,3387136.613272261
306539.9999999954,3387119.999999949
306526.61327230657,3387103.386727638
