xs,ys
307128.37891610747,3390615.193673316
307141.98851814086,3390592.8809366957
307152.75367232604,3390569.9273917205
307161.15807252575,3390546.456889097
307167.68541260227,3390522.5932795308
307172.8193864177,3390498.4604137233
307177.04368783446,3390474.1821423797
307180.8420107151,3390449.8823162057
307184.6980489216,3390425.684785903
307189.09502707905,3390401.713265569
307194.34987991536,3390378.043057749
307200.3686310159,3390354.6298374673
307206.99494478386,3390331.411125286
307214.07248562213,3390308.324441765
307221.44491793384,3390285.307307461
307228.95590612193,3390262.2972429357
307236.4491145894,3390239.2317687464
307243.7692484236,3390216.0488463324
307250.8252742082,3390192.7136610667
307257.6268249498,3390169.2340449556
307264.19231834897,3390145.621551581
307270.5401721062,3390121.8877345193
307276.6888039221,3390098.044147353
307282.6566314973,3390074.102343662
307288.4620725323,3390050.0738770245
307294.12354472786,3390025.970301024
307299.6594657844,3390001.8031692374
307305.0882534025,3389977.5840352457
307310.4283252829,3389953.32445263
307315.69809912593,3389929.035974968
307320.9159926325,3389904.7301558424
307326.10042350285,3389880.4185488317
307331.2696926954,3389856.112663847
307336.4282874161,3389831.8188434565
307341.5540327385,3389807.5334566734
307346.6217135004,3389783.25173524
307351.60611453943,3389758.9689108995
307356.4820206932,3389734.680215395
307361.22421679937,3389710.3808804695
307365.80748769577,3389686.0661378666
307370.2066182198,3389661.731219328
307374.39639320923,3389637.3713565986
307378.3515975019,3389612.981781422
307382.0470159351,3389588.557725539
307385.45743334683,3389564.0944206947
307388.55763457465,3389539.587098632
307391.32240445615,3389515.0309910923
307393.726527829,3389490.421329822
307395.744789531,3389465.753346561
307397.35203542997,3389441.0222830446
307398.54185931035,3389416.226450047
307399.3529783513,3389391.3715450545
307399.830760752,3389366.46435433
307400.0205747118,3389341.5116641363
307399.96778843005,3389316.5202607336
307399.7177701057,3389291.4969303817
307399.31588793825,3389266.448459347
307398.807510127,3389241.3816338885
307398.238004871,3389216.3032402685
307397.65274036967,3389191.220064748
307397.09708482213,3389166.1388935903
307396.6164064278,3389141.0665130564
307396.25607338577,3389116.0097094076
307396.0614538954,3389090.975268907
307396.077916156,3389065.9699778156
307396.3508283666,3389041.000622394
307396.9249465185,3389016.073905341
307397.81716729025,3388991.1927265995
307399.00565592234,3388966.354699337
307400.4657167524,3388941.557046209
307402.1726541185,3388916.796989872
307404.1017723587,3388892.0717529864
307406.22837581096,3388867.378558208
307408.5277688132,3388842.7146281917
307410.9752557033,3388818.0771855973
307413.54614081956,3388793.4634530814
307416.2157284997,3388768.8706533005
307418.9593230817,3388744.296008914
307421.7522289037,3388719.7367425747
307424.56975030346,3388695.190076944
307427.38719161914,3388670.653234677
307430.17985718866,3388646.1234384314
307432.9230513499,3388621.5979108633
307435.59268388874,3388597.0739592477
307438.1922923077,3388572.5527520212
307440.7638676927,3388548.04083178
307443.35224622046,3388523.5451387367
307446.0022640688,3388499.0726131084
307448.75875741476,3388474.630195111
307451.66656243557,3388450.22482496
307454.7705153088,3388425.8634428713
307458.1154522115,3388401.552989059
307461.74620932114,3388377.3004037407
307465.70762281487,3388353.112627131
307470.04452887,3388328.9965994447
307474.8017636639,3388304.959260899
307480.0241633739,3388281.007551709
307485.75656417717,3388257.14841209
307492.0438022511,3388233.388782258
307498.93055465486,3388209.7355720624
307506.4136558384,3388186.1865613884
307514.3752592843,3388162.7176451655
307522.680691589,3388139.3015071917
307531.19527934905,3388115.910831265
307539.7843491609,3388092.518301184
307548.3132276209,3388069.096600745
307556.6472413256,3388045.6184137478
307564.65171687136,3388022.056423989
307572.1919998158,3387998.3834397434
307579.1355342414,3387974.5860456717
307585.35373862734,3387950.676917543
307590.71847426513,3387926.6716380967
307595.10160244594,3387902.5857900702
307598.374984461,3387878.4349562023
307600.41048160184,3387854.2347192317
307601.07995515945,3387830.0006618956
307600.2552664253,3387805.7483669333
307597.8155438087,3387781.497424171
307593.74174491334,3387757.323572028
307588.08982609503,3387733.3439032203
307580.91748691525,3387709.6764716664
307572.28242693515,3387686.4393312843
307562.24234571605,3387663.7505359915
307550.8549428192,3387641.728139708
307538.177917806,3387620.4901963505
307524.26897023764,3387600.1547598373
307509.18579967564,3387580.839884088
307492.986105681,3387562.6636230205
307475.72758781514,3387545.7440305525
307457.46794563934,3387530.1991606015
307438.26487871504,3387516.1470670886
307418.1765673347,3387503.6902950103
307397.26560689445,3387492.7889533243
307375.5969678592,3387483.3265286605
307353.235643572,3387475.1857695915
307330.2466273756,3387468.2494246913
307306.694912613,3387462.4002425326
307282.64549262694,3387457.5209716875
307258.16336076026,3387453.4943607296
307233.3135103558,3387450.203158231
307208.16093475645,3387447.530112766
307182.770627305,3387445.3579729055
307157.20758134435,3387443.569487224
307131.5367902173,3387442.047404294
307105.82324726664,3387440.6744726873
307080.13194583537,3387439.333440978
307054.5278792663,3387437.907057739
307029.0760281604,3387436.278088921
307003.83144082094,3387434.34284693
306978.8214588807,3387432.035432722
306954.068630501,3387429.2964849686
306929.59550384386,3387426.0666423426
306905.4246270707,3387422.286543517
306881.5785483433,3387417.8968271627
306858.07981582324,3387412.838131951
306834.9509776722,3387407.0510965553
306812.21458205185,3387400.4763596477
306789.89317712374,3387393.054559899
306768.0093110496,3387384.726335983
306746.5855319911,3387375.43232657
306725.6443881099,3387365.1131703337
306705.2084275675,3387353.709505944
306685.3001985257,3387341.1619720752
306665.94224319747,3387327.411223344
306647.1409283208,3387312.441272616
306628.85121577163,3387296.3739231387
306611.0178790951,3387279.3582879086
306593.58569183643,3387261.543479924
306576.4994275405,3387243.07861218
306559.70385975274,3387224.112797675
306543.1437620183,3387204.795149407
306526.7639078821,3387185.2747803703
306510.5090708895,3387165.7008035625
306494.3240245855,3387146.222331981
306478.15354251524,3387126.9884786224
306461.9423982239,3387108.1483564847
306445.6286824824,3387089.841749186
306429.11042405496,3387072.1525124353
306412.2707903944,3387055.143755049
306394.9929245166,3387038.8785517295
306377.15996943734,3387023.419977179
306358.6550681723,3387008.8311060993
306339.3757669882,3386995.165408466
306319.34040139336,3386982.395806639
306298.6276141941,3386970.455007397
306277.31649297307,3386959.2754209274
306255.48612531263,3386948.7894574082
306233.2155987957,3386938.929527029
306210.58400100435,3386929.628039969
306187.67025053245,3386920.8174705785
306164.53607233777,3386912.43682134
306141.21141987765,3386904.4371578605
306117.7228127768,3386896.7708495087
306094.09677066037,3386889.3902656585
306070.3598131534,3386882.2477756813
306046.5384598807,3386875.2957489495
306022.6592304674,3386868.4865548373
305998.74864453834,3386861.772562714
305974.8332217186,3386855.106141953
305950.9394816331,3386848.4396619275
305927.0939439069,3386841.7254920085
305903.32312816486,3386834.916001569
305879.653554032,3386827.9635599814
305856.1117411333,3386820.820536617
305832.72420909384,3386813.4393008486
305809.51747753844,3386805.7722220486
305786.51489914313,3386797.780915467
305763.7094089012,3386789.515800512
305741.0769820894,3386781.076810326
305718.5934100806,3386772.564414964
305696.2344842474,3386764.079084476
305673.97599596257,3386755.721288915
305651.7937329654,3386747.5914498307
305629.65966682235,3386739.739047638
305607.53472275176,3386732.066107824
305585.37783883495,3386724.448130077
305563.1479531533,3386716.760614092
305540.8040037881,3386708.879059557
305518.3049288207,3386700.678966163
305495.6096663323,3386692.0358336023
305472.67774155294,3386682.825492111
305449.53075228486,3386672.958716876
305426.3063029003,3386662.4115912137
305403.15471270325,3386651.1673565563
305380.2263009974,3386639.2092543324
305357.67138708715,3386626.520525978
305335.6402902761,3386613.0844129217
305314.28332986846,3386598.8841565973
305293.75082516804,3386583.902998435
305274.19309547887,3386568.1241798657
305255.76046010485,3386551.5309423236
305238.6032383502,3386534.106527238
305222.8717495186,3386515.8341760426
305208.7163129142,3386496.697130168
305196.25218220375,3386476.693271044
305185.45381051314,3386455.8792647184
305176.26031581877,3386434.3265297553
305168.61081609724,3386412.1064847223
305162.4444293249,3386389.290548185
305157.7002734781,3386365.9501387095
305154.31746653357,3386342.1566748633
305152.2351264676,3386317.9815752115
305151.3923712565,3386293.496258321
305151.7283188771,3386268.7721427605
305153.1820873056,3386243.880647093
305155.69279451837,3386218.8931898857
305159.1995584921,3386193.8811897067
305163.64149720315,3386168.91606512
305168.95772862795,3386144.0692346944
305175.01761908305,3386119.402951346
305181.40545941,3386094.9420079333
305187.6327215163,3386070.7016286105
305193.2108772833,3386046.697037533
305197.65139859216,3386022.9434588524
305200.4657573243,3385999.4561167215
305201.1654253609,3385976.2502352935
305199.2618745832,3385953.3410387225
305194.26832562254,3385930.7441446823
305185.9584099858,3385908.5337714385
305174.6401611682,3385886.9043943994
305160.68720828445,3385866.065250043
305144.47318044945,3385846.2255748464
305126.3717067779,3385827.5946052843
305106.7564163845,3385810.381577833
305085.99667572096,3385794.7809233926
305064.38666528795,3385780.725928249
305042.15623703046,3385767.926445255
305019.5331682797,3385756.0851214705
304996.74523636734,3385744.9046039567
304974.020218625,3385734.087539778
304951.58589238406,3385723.336575993
304929.670034976,3385712.3543596626
304908.50042373245,3385700.8435378503
304888.30483598495,3385688.506757617
304869.3110490648,3385675.0466660233
304851.74684030365,3385660.1659101304
304835.8399855702,3385643.5671492214
304821.8043398246,3385625.0693150973
304809.80574311444,3385604.8923777104
304799.9996910992,3385583.342707128
304792.5416794382,3385560.7266734154
304787.58720379096,3385537.3506466397
304785.29175981693,3385513.520996868
304785.8108431756,3385489.5440941686
304789.29994952644,3385465.7263086056
304795.89455201646,3385442.3642807524
304805.3943722396,3385419.5915001812
304817.32083226537,3385397.4062229972
304831.18694907206,3385375.802621041
304846.505739638,3385354.7748661498
304862.79022094153,3385334.317130164
304879.55340996076,3385314.42358492
304896.35875917313,3385295.079201459
304913.0727758815,3385276.213665406
304929.6746318372,3385257.7361093382
304946.1436868382,3385239.555631527
304962.45930068323,3385221.5813302505
304978.60083317,3385203.7223037784
304994.54764409695,3385185.887650384
305010.2790932625,3385167.9864683417
305025.77454046457,3385149.9278559242
305041.0133455015,3385131.6209114045
305055.97486817156,3385112.974733056
305070.63846827287,3385093.898419151
305084.9879548832,3385074.3101826864
305099.0608590027,3385054.238290522
305112.9303443976,3385033.78400623
305126.6702140216,3385013.0499028075
305140.3542708282,3384992.13855326
305154.05631777114,3384971.152530584
305167.85015780386,3384950.194407779
305181.8095938801,3384929.366757848
305196.00842895336,3384908.772153789
305210.52046597726,3384888.513168603
305225.4195079054,3384868.69237529
305240.77935769124,3384849.41234685
305256.6724769482,3384830.773867709
305273.12974418,3384812.8222743925
305290.1334412349,3384795.5381035036
305307.6630952201,3384778.8982184026
305325.69823324325,3384762.8794824565
305344.2183824118,3384747.458759028
305363.20306983317,3384732.6129114823
305382.63182261493,3384718.318803184
305402.48416786455,3384704.553297498
305422.7396326896,3384691.2932577874
305443.3777441974,3384678.5155474157
305464.3780294956,3384666.1970297494
305485.72001570015,3384654.314568209
305507.3838873319,3384642.849574471
305529.3522758404,3384631.8003892675
305551.6083818661,3384621.1692912723
305574.13540605013,3384610.9585591685
305596.9165490331,3384601.170471631
305619.93501145556,3384591.8073073383
305643.1739939584,3384582.8713449673
305666.61669718224,3384574.3648631973
305690.24632176815,3384566.2901407056
305714.04606835643,3384558.64945617
305737.99913758814,3384551.4450882673
305762.0887301039,3384544.6793156774
305786.2980465444,3384538.354417076
305810.6102875505,3384532.4726711423
305835.00865376275,3384527.0363565525
305859.476345822,3384522.0477519864
305883.99758755625,3384517.507541137
305908.5649908471,3384513.403332079
305933.1752765913,3384509.716327591
305957.8251938549,3384506.4276865465
305982.51149170316,3384503.5185678145
306007.23091920133,3384500.970130268
306031.98022541514,3384498.7635327782
306056.75615941,3384496.879934216
306081.55547025136,3384495.300493453
306106.3749070048,3384494.00636936
306131.2112187356,3384492.978720809
306156.06115450937,3384492.198706672
306180.9214633915,3384491.6474858182
306205.7888944475,3384491.3062171205
306230.6601967428,3384491.1560594495
306255.53211934294,3384491.178171677
306280.40141131345,3384491.353712674
306305.26516586996,3384491.665251014
306330.1228843514,3384492.1052193744
306354.9750966414,3384492.6702635344
306379.8223364817,3384493.3570450805
306404.66513761366,3384494.162225595
306429.50403377885,3384495.082466663
306454.33955871884,3384496.1144298674
306479.172246175,3384497.254776792
306504.002629889,3384498.5001690215
306528.8312436022,3384499.8472681385
306553.6586210562,3384501.2927357275
306578.48529599234,3384502.833233372
306603.3118021524,3384504.4654226555
306628.13867327786,3384506.1859651627
306652.96644311,3384507.9915224775
306677.7956453905,3384509.8787561823
306702.6268138608,3384511.8443278614
306727.45926918846,3384513.888459422
306752.28442800196,3384516.0345708127
306777.0905408013,3384518.3153744405
306801.86584965396,3384520.7636074615
306826.5985966275,3384523.4120070334
306851.27702378924,3384526.2933103144
306875.88937320677,3384529.44025446
306900.42388694745,3384532.8855766277
306924.86880707875,3384536.662013975
306949.2123756682,3384540.8023036593
306973.4428347832,3384545.339182837
306997.54842649115,3384550.305388665
307021.5173928595,3384555.733658301
307045.33797595586,3384561.656728903
307068.99841784756,3384568.1073376248
307092.48696060205,3384575.1182216275
307115.7918462868,3384582.7221180666
307138.902164384,3384590.949245529
307161.82590923813,3384599.773636175
307184.58966029447,3384609.114086089
307207.2207804547,3384618.8870628728
307229.74663262034,3384629.009034128
307252.1945796931,3384639.396467457
307274.5919845746,3384649.9658304625
307296.9662101665,3384660.6335907457
307319.3446193705,3384671.3162159086
307341.7545750882,3384681.930173555
307364.22344022134,3384692.391931286
307386.77857767144,3384702.6179567035
307409.4473503403,3384712.5247174106
307432.25712112925,3384722.028681007
307455.2352529404,3384731.046315099
307478.4051224263,3384739.5021578902
