xs,ys
307150.66319773294,3390704.0091499425
307153.1068622343,3390679.713765117
307155.3214196149,3390655.2713125763
307157.37549175683,3390630.7086183196
307159.3377005427,3390606.0525083444
307161.27666785446,3390581.329808647
307163.2610155746,3390556.567345224
307165.3593655854,3390531.791944072
307167.64033976913,3390507.0304311914
307170.1725600082,3390482.3096325775
307173.0246481849,3390457.656374228
307176.26522618136,3390433.09748214
307179.9629158801,3390408.659782311
307184.18633916334,3390384.3701007375
307189.0041179133,3390360.255263417
307194.48487401253,3390336.3420963483
307200.6972293431,3390312.6574255275
307207.7098057873,3390289.22807695
307215.59122522775,3390266.0808766177
307224.3906738928,3390243.236337956
307233.91233986104,3390220.6354006524
307243.7928006538,3390198.164565622
307253.66537824017,3390175.709276397
307263.163394589,3390153.154976509
307271.9201716692,3390130.38710949
307279.56903144985,3390107.2911188733
307285.86093055474,3390083.785501443
307291.1432106548,3390059.9563275995
307295.9517581859,3390035.942645481
307300.82253297436,3390011.883523845
307306.2914948465,3389987.9180314513
307312.7752286597,3389964.1573642106
307320.03452060657,3389940.5595956948
307327.6061388233,3389917.030493528
307335.02671719086,3389893.4757921817
307341.9375697772,3389869.8224637383
307348.3002968706,3389846.062460252
307354.137544235,3389822.2001187415
307359.4719576344,3389798.239776222
307364.3261828333,3389774.1857697126
307368.72286559554,3389750.042436229
307372.6846516854,3389725.81411279
307376.23418686696,3389701.505136412
307379.39411690435,3389677.119844113
307382.1870875617,3389652.6625729096
307384.6357446032,3389628.1376598203
307386.7627337929,3389603.549441861
307388.5907008949,3389578.902256049
307390.1422916736,3389554.2004394038
307391.4401518927,3389529.44832894
307392.5069273168,3389504.6502616773
307393.36526370974,3389479.810574631
307394.0378068357,3389454.93360482
307394.5472024589,3389430.0236892616
307394.9160963434,3389405.085164972
307395.1671342533,3389380.1223689686
307395.3229619529,3389355.13963827
307395.4062252061,3389330.1413098923
307395.4395697771,3389305.131720853
307395.4456414302,3389280.1152081704
307395.44708592945,3389255.096108861
307395.4665490389,3389230.078759942
307395.52667652274,3389205.0674984315
307395.650114145,3389180.066661346
307395.8595076701,3389155.0805857037
307396.1775028619,3389130.1136085205
307396.6267454846,3389105.1700668153
307397.2298813024,3389080.254297605
307398.0095560792,3389055.3706379067
307398.9829264149,3389030.522346053
307400.14538168506,3389005.7084028632
307401.4869164097,3388980.9267290076
307402.997525109,3388956.1752451537
307404.6672023027,3388931.4518719683
307406.48594251106,3388906.754530122
307408.44374025404,3388882.0811402816
307410.53059005167,3388857.4296231167
307412.73648642394,3388832.7978992937
307415.05142389087,3388808.1838894817
307417.46539697255,3388783.5855143494
307419.96840018895,3388759.000694564
307422.5504280601,3388734.4273507954
307425.2014751062,3388709.8634037115
307427.911535847,3388685.306773979
307430.6706048026,3388660.7553822687
307433.4686764931,3388636.207149246
307436.2957454385,3388611.6599955815
307439.1442265177,3388587.1124360063
307442.0281371444,3388562.568287482
307444.97284930194,3388538.0341538843
307448.00383594824,3388513.5166638778
307451.146570041,3388489.022446122
307454.42652453814,3388464.558129282
307457.8691723973,3388440.1303420174
307461.49998657627,3388415.74571299
307465.3444400329,3388391.410870865
307469.42800572497,3388367.1324443016
307473.7761566102,3388342.917061962
307478.41436564655,3388318.7713525104
307483.36810579157,3388294.7019446064
307488.66285000317,3388270.7154669138
307494.3240712391,3388246.8185480926
307500.37724245724,3388223.017816808
307506.8478366152,3388199.3199017188
307513.7596717515,3388175.7307990277
307521.08159368613,3388152.235496171
307528.71602595504,3388128.7935959464
307536.56142143236,3388105.3631836814
307544.5162329925,3388081.9023447013
307552.4789135098,3388058.3691643337
307560.3479158584,3388034.721727907
307568.02169291244,3388010.918120744
307575.393067681,3387986.9223554465
307582.30759530666,3387962.748209451
307588.58720847836,3387938.4343305333
307594.05366503133,3387914.0195505624
307598.5287228006,3387889.5427014045
307601.8341396211,3387865.042614928
307603.79167332815,3387840.558122999
307604.22308175644,3387816.128057484
307602.95019915,3387791.7912685955
307599.85521618545,3387767.6010962115
307594.98898359097,3387743.6513701477
307588.43158538576,3387720.0429382115
307580.26310558827,3387696.876648204
307570.5636282172,3387674.2533479305
307559.41323729145,3387652.273885198
307546.89201682975,3387631.0391078074
307533.0800508506,3387610.6498635653
307518.0574233728,3387591.2070002747
307501.90421841515,3387572.8113657413
307484.7005199964,3387555.563807769
307466.5264121351,3387539.5651741615
307447.4619788502,3387524.916312724
307427.5872452103,3387511.7176625384
307406.9733583098,3387500.0081082648
307385.6731940965,3387489.6998536536
307363.73737819266,3387480.6895000846
307341.21653622104,3387472.8736489373
307318.16129380395,3387466.148901589
307294.6222765643,3387460.411859422
307270.6501101242,3387455.5591238136
307246.2954201064,3387451.487296142
307221.60883213347,3387448.0929777888
307196.6409718279,3387445.2727701305
307171.44246481213,3387442.9232745487
307146.0639367089,3387440.9410924218
307120.55601314036,3387439.2228251263
307094.96931972954,3387437.665074045
307069.3544820986,3387436.164440555
307043.7621258702,3387434.6175260367
307018.2428849594,3387432.921184049
306992.84751680086,3387430.9760245215
306967.62687363074,3387428.6855403776
306942.6318101071,3387425.9532982046
306917.913180888,3387422.6828645887
306893.5218406316,3387418.777806115
306869.5086439961,3387414.1416893704
306845.9244456396,3387408.678080942
306822.8201002201,3387402.290547414
306800.24646239594,3387394.8826553747
306778.2543868251,3387386.3579714084
306756.8947281657,3387376.620062102
306736.21834107593,3387365.572494043
306716.2760802139,3387353.118833814
306697.1188002378,3387339.1626480054
306678.79735580564,3387323.607503201
306661.3429710307,3387306.406688217
306644.6295495563,3387287.911969081
306628.4553926057,3387268.66660528
306612.61855363456,3387249.2143701003
306596.97254980495,3387229.931424313
306581.49781225616,3387210.8103919127
306566.19244623854,3387191.7904853513
306551.05029034097,3387172.8135299846
306536.02478470496,3387153.8460912392
306521.04709952377,3387134.868372679
306506.0481722687,3387115.8607203937
306490.9589404107,3387096.803480469
306475.71034142096,3387077.676998993
306460.2294148565,3387058.475883666
306444.3844515449,3387039.4096909314
306427.99829938577,3387020.854242952
306410.89262466476,3387003.18968516
306392.8890936681,3386986.796162984
306373.8093726814,3386972.053821856
306353.4849922418,3386959.324465902
306331.93813090253,3386948.6154137775
306309.3634265336,3386939.613318223
306285.96173204714,3386931.993275903
