xs,ys
307129.27251969604,3390620.2795449747
307146.6687839867,3390601.477983233
307158.53994571033,3390580.548357002
307166.0048044988,3390557.901007744
307170.18215998367,3390533.946276919
307172.1908117967,3390509.094505989
307173.14955956955,3390483.756036414
307174.177202934,3390458.341209657
307176.39254151576,3390433.2603671765
307180.6598490981,3390408.8330559037
307186.834042156,3390385.0187645657
307194.51986560156,3390361.6877406198
307203.3220643468,3390338.710231524
307212.8453833039,3390315.956484737
307222.6945673848,3390293.2967477175
307232.47436150175,3390270.6012679236
307241.7895105666,3390247.740292812
307250.2450552706,3390224.584168302
307257.6001909815,3390201.054554364
307264.02022068674,3390177.2082935763
307269.736535012,3390153.1242273594
307274.9805245827,3390128.881197135
307279.9835800243,3390104.558044325
307284.9770919625,3390080.2336103525
307290.1924510225,3390055.9867366357
307295.8546514321,3390031.8942006994
307302.02224696736,3390007.97907537
307308.5758506492,3389984.207018029
307315.3873758199,3389960.5408789674
307322.32873582165,3389936.943508473
307329.2718439968,3389913.377756834
307336.0886136876,3389889.8064743406
307342.65095823637,3389866.192511282
307348.8308068544,3389842.4987224317
307354.5318318354,3389818.6969316285
307359.7559394716,3389794.7867189143
307364.5239805967,3389770.7730171466
307368.8568060441,3389746.660759182
307372.7752666477,3389722.454877876
307376.3002132411,3389698.1603060868
307379.45249665796,3389673.7819766724
307382.25296773185,3389649.3248224864
307384.7224772965,3389624.7937763887
307386.8818761855,3389600.1937712342
307388.7520152326,3389575.52973988
307390.3537452714,3389550.806615184
307391.7079171356,3389526.029330003
307392.83538165886,3389501.2028171928
307393.75698967476,3389476.3320096117
307394.4935920169,3389451.4218401145
307395.06603951915,3389426.4772415594
307395.495183015,3389401.5031468035
307395.8018733382,3389376.5044887033
307396.0069613222,3389351.486200115
307396.1312978009,3389326.453213896
307396.195733608,3389301.4104629047
307396.22111957683,3389276.3628799953
307396.22830654134,3389251.315398026
307396.238145335,3389226.2729498516
307396.2714867916,3389201.240468333
307396.34918174474,3389176.222886324
307396.4920810281,3389151.2251366833
307396.72103547526,3389126.2521522655
307397.05689591996,3389101.308865929
307397.5205131958,3389076.40021053
307398.1327381365,3389051.5311189275
307398.91442157567,3389026.7065239754
307399.8823480705,3389001.92996484
307401.03422977665,3388977.198443746
307402.36219186167,3388952.5070480113
307403.8583587807,3388927.850864708
307405.51485498936,3388903.2249809126
307407.3238049425,3388878.6244836957
307409.2773330956,3388854.044460133
307411.36756390386,3388829.479997298
307413.58662182273,3388804.926182266
307415.9266313073,3388780.378102108
307418.37971681287,3388755.8308438985
307420.9380027948,3388731.2794947126
307423.5936137082,3388706.7191416244
307426.33867400856,3388682.144871706
307429.16530815116,3388657.5517720333
307432.06564059097,3388632.9349296778
307435.03179578355,3388608.2894317145
307438.05990959296,3388583.612991804
307441.16570075275,3388558.9161460553
307444.3708547053,3388534.213337453
307447.6970583247,3388509.5190099194
307451.1659984852,3388484.847607377
307454.7993620611,3388460.21357375
307458.61883592623,3388435.6313529583
307462.646106955,3388411.1153889257
307466.90286202164,3388386.6801255746
307471.41078800015,3388362.340006827
307476.1915717649,3388338.1094766064
307481.2669001898,3388314.002978833
307486.6584601492,3388290.0349574313
307492.38793851726,3388266.2198563223
307498.47702216817,3388242.5721194297
307504.9473979761,3388219.106190676
307511.82075281505,3388195.836513981
307519.1109941516,3388172.772406469
307526.7319000712,3388149.857197783
307534.5277267399,3388126.988401086
307542.34132896084,3388104.0626060106
307550.0155615378,3388080.9764021924
307557.3932792738,3388057.626379264
307564.31733697245,3388033.9091268587
307570.6305894369,3388009.7212346117
307576.1847610617,3387984.984075156
307580.88469738286,3387959.7674497575
307584.65493219346,3387934.1961716954
307587.4200314625,3387908.3951441557
307589.1045611593,3387882.4892703244
307589.63308725273,3387856.6034533856
307588.93017571204,3387830.862596526
307586.9203925061,3387805.3916029288
307583.5299275647,3387780.3146239845
307578.73001849686,3387755.734956735
307572.54169304675,3387731.7328484003
307564.9885543902,3387708.3873539334
307556.0942057032,3387685.7775282855
307545.88225016155,3387663.982426409
307534.37629094126,3387643.081103258
307521.59993121785,3387623.15261378
307507.57677416765,3387604.276012933
307492.3304229662,3387586.530355665
307475.8844807896,3387569.99469693
