xs,ys
307154.2589938256,3390616.293350255
307154.5617543622,3390590.3958621016
307155.7441964503,3390564.9022124396
307157.7527710773,3390539.7821690235
307160.5339292314,3390515.0054996163
307164.0341219003,3390490.5419719773
307168.1998000718,3390466.361353866
307172.97741473373,3390442.4334130418
307178.313416874,3390418.7279172656
307184.1542574803,3390395.214634296
307190.44638754055,3390371.863331894
307197.13625804253,3390348.6437778194
307204.17031997396,3390325.525739829
307211.4950243228,3390302.4789856854
307219.056822077,3390279.4732831493
307226.8021642241,3390256.4783999766
307234.6775017521,3390233.4641039306
307242.6292856489,3390210.40016277
307250.6055793963,3390187.258148524
307258.5713950686,3390164.028597536
307266.5018825497,3390140.7133896616
307274.3723282452,3390117.3145575156
307282.1580185606,3390093.8341337116
307289.8342399016,3390070.2741508656
307297.3762786736,3390046.63664159
307304.7594212821,3390022.9236385
307311.9589541329,3389999.137174211
307318.95016363147,3389975.2792813363
307325.7083361833,3389951.35199249
307332.2087581939,3389927.357340288
307338.42671606917,3389903.2973573436
307344.3374962142,3389879.1740762712
307349.9163850349,3389854.989529686
307355.1386689366,3389830.745750201
307359.9796343251,3389806.444770432
307364.42049291666,3389782.088682585
307368.4710108147,3389757.679866045
307372.1495446231,3389733.220786592
307375.4744526526,3389708.7139100255
307378.46409321425,3389684.1617021435
307381.13682461897,3389659.566628743
307383.5110051778,3389634.9311556234
307385.6049932016,3389610.2577485847
307387.43714700144,3389585.548873422
307389.02582488826,3389560.806995936
307390.389385173,3389536.0345819234
307391.54618616664,3389511.234097183
307392.5145861801,3389486.4080075133
307393.31294352456,3389461.5587787135
307393.95961651066,3389436.688876581
307394.4729634496,3389411.800766914
307394.8713426521,3389386.896915509
307395.17311242945,3389361.9797881683
307395.3966310924,3389337.051850687
307395.560256952,3389312.1155688637
307395.6823483191,3389287.173408499
307395.7812635049,3389262.227835388
307395.8753608201,3389237.2813153313
307395.9829985758,3389212.336314128
307396.1225350829,3389187.395297572
307396.3123286525,3389162.4607314668
307396.57073759544,3389137.535081607
307396.91612022277,3389112.620813793
307397.36683484534,3389087.7203938225
307397.9412397742,3389062.836287493
307398.6576933203,3389037.9709606036
307399.5345537946,3389013.126878953
307400.59017950814,3388988.306508339
307401.8429287717,3388963.512314559
307403.31115989643,3388938.746763412
307405.0082856737,3388914.011692243
307406.9206764198,3388889.305501958
307409.0255058892,3388864.6254248046
307411.29994020914,3388839.9686920643
307413.72114550683,3388815.3325350164
307416.26628790953,3388790.7141849413
307418.9125335441,3388766.110873116
307421.6370485381,3388741.5198308234
307424.41699901863,3388716.938289343
307427.2295511127,3388692.363479953
307430.0518709477,3388667.792633933
307432.86112465075,3388643.2229825635
307435.6344783489,3388618.6517571243
307438.34909816954,3388594.076188895
307440.98215023975,3388569.493509155
307443.5108006868,3388544.900949185
307445.9122156378,3388520.295740264
307448.16356121993,3388495.675113672
307450.247390306,3388471.0371934026
307452.2555627466,3388446.3982182574
307454.381707101,3388421.7912925757
307456.82332860614,3388397.250163151
307459.7779324991,3388372.808576784
307463.443024017,3388348.500280268
307468.01610839687,3388324.3590204017
307473.6946908757,3388300.4185439805
307480.67627669056,3388276.7125978014
307489.07969697786,3388253.2628981355
307498.6201281688,3388230.029436013
307508.88364312664,3388206.952460469
307519.4562571582,3388183.9722117344
307529.92398556997,3388161.0289300424
307539.872843669,3388138.0628556265
307548.8888467621,3388115.014228719
307556.55851948744,3388091.8233226202
307562.6344791961,3388068.4411938125
307567.2736006228,3388044.8451442397
307570.69308962475,3388021.0163927097
307573.1101520593,3387996.9361580247
307574.7419937834,3387972.5856589884
307575.80582065444,3387947.9461144055
307576.51883852953,3387922.9987430796
307577.09825326595,3387897.7247638167
307577.7463678919,3387872.11093828
307578.40146699426,3387846.242225418
307578.7753260003,3387820.287830513
307578.5723746259,3387794.419690961
307577.4970425867,3387768.8097441583
307575.25375959853,3387743.6299275
307571.54695537704,3387719.052178381
307566.0810596382,3387695.2484341976
307558.56834661774,3387672.3880635477
307548.9259943311,3387650.5733363563
307537.29068432783,3387629.834642984
307523.809866966,3387610.1988473893
307508.63099260326,3387591.6928135315
307491.9015115976,3387574.34340537
307473.7688743069,3387558.1774868653
307454.38053108903,3387543.2219219757
307433.8839323019,3387529.503574662
307412.4265283032,3387517.049308882
307390.15576945106,3387505.8859885964
307367.2191061031,3387496.0404777634
307343.76398861734,3387487.5396403437
307319.9303488839,3387480.39888124
307295.79158074374,3387474.5321933087
307271.38634629274,3387469.8006340154
307246.753006208,3387466.064801427
307221.9299211663,3387463.1852936144
307196.9554518446,3387461.022708645
307171.86795891967,3387459.4376445846
307146.7058030685,3387458.290699503
307121.5073449679,3387457.4424714684
307096.310945295,3387456.7535585477
307071.1549647263,3387456.0845588096
307046.077763939,3387455.2960703215
307021.11770360987,3387454.248691152
306996.3131444158,3387452.8030193686
306971.70244703366,3387450.81965304
306947.3239721405,3387448.159190234
306923.2160804129,3387444.682229017
306899.41713252803,3387440.249367459
306875.9653771707,3387434.7222719914
306852.89233028283,3387428.026836994
306830.21906444296,3387420.1885827896
306807.9657529854,3387411.2416081596
306786.1525692446,3387401.220011892
306764.7996865551,3387390.157892772
306743.92727825115,3387378.0893495837
306723.55551766715,3387365.048481112
306703.7045781376,3387351.069386144
306684.39463299693,3387336.186163463
306665.6458555795,3387320.4329118556
306647.4784192197,3387303.8437301056
306629.9124972521,3387286.4527169997
306612.9682630108,3387268.2939713215
306596.6558989131,3387249.4104222725
306580.8962793664,3387229.9239334133
306565.56327913393,3387209.9979086705
306550.5303532023,3387189.796122983
306535.6709565578,3387169.4823512947
306520.8585441871,3387149.220368546
306505.9665710766,3387129.173949678
306490.8684922129,3387109.5068696337
306475.4377625823,3387090.382903354
306459.54783717147,3387071.9658257794
306443.0721709668,3387054.419411852
306425.88421895495,3387037.9074365147
306407.86160498403,3387022.5881217546
306388.9738439509,3387008.497290036
306369.2801768505,3386995.551248033
306348.84358047246,3386983.6613263083
306327.7270316066,3386972.738855429
306305.9935070426,3386962.6951659615
306283.7059835702,3386953.441588471
