xs,ys
307126.5467030426,3390647.4316767054
307124.9285985137,3390620.754378052
307124.7848205335,3390594.6712762825
307126.01608357637,3390569.138328593
307128.523102117,3390544.1114921826
307132.2065906295,3390519.5467242426
307136.9672635882,3390495.3999819686
307142.7058354676,3390471.627222557
307149.3230207422,3390448.184403204
307156.7195338863,3390425.0274811042
307164.7960893742,3390402.112413454
307173.4534016804,3390379.3951574457
307182.5921852792,3390356.8316702778
307192.113154645,3390334.3779091453
307201.9170242522,3390311.9898312413
307211.90450857516,3390289.6233937647
307221.97632208833,3390267.234553909
307232.0331792661,3390244.779268869
307241.9758031659,3390222.213500929
307251.7226805524,3390199.503739255
307261.24744145054,3390176.6491512675
307270.5343844086,3390153.655226623
307279.5678079753,3390130.527454974
307288.33201069874,3390107.271325978
307296.8112911277,3390083.8923292896
307304.9899478104,3390060.395954562
307312.8522792955,3390036.787691453
307320.38258413115,3390013.073029615
307327.5651608661,3389989.257458706
307334.3843080487,3389965.346468379
307340.82432422735,3389941.34554829
307346.86950795056,3389917.2601880943
307352.5041577667,3389893.0958774453
307357.71257222426,3389868.8581060003
307362.47965845355,3389844.552325785
307366.80725651735,3389820.1829418414
307370.7159511789,3389795.753200206
307374.2272993114,3389771.2662868095
307377.36285778705,3389746.725387583
307380.1441834788,3389722.1336884545
307382.59283325943,3389697.494375356
307384.73036400165,3389672.810634217
307386.57833257806,3389648.085650967
307388.15829586156,3389623.322611537
307389.49181072495,3389598.5247018565
307390.60043404065,3389573.6951078563
307391.5057226818,3389548.8370154663
307392.2292335208,3389523.953610616
307392.7925234305,3389499.0480792345
307393.2171492837,3389474.1236072546
307393.5246679529,3389449.183380605
307393.7366363111,3389424.2305852165
307393.8746112311,3389399.268407019
307393.9601495853,3389374.3000319414
307394.01480824663,3389349.328645915
307394.0601440878,3389324.3574348693
307394.11771398166,3389299.389584736
307394.2090748007,3389274.4282814423
307394.35578341776,3389249.47671092
307394.57939670567,3389224.5380591005
307394.9014715371,3389199.615511911
307395.3435647848,3389174.712255285
307395.92723332136,3389149.83147515
307396.6740340197,3389124.9763574367
307397.60552375246,3389100.1500880755
307398.74325939245,3389075.355852997
307400.1087978123,3389050.5968381306
307401.72369580413,3389025.876229391
307403.5943776757,3389001.1944927024
307405.669880534,3388976.541778899
307407.8856399812,3388951.9057940096
307410.1770916193,3388927.274244062
307412.4796710503,3388902.6348350868
307414.7288138763,3388877.97527311
307416.8599556993,3388853.283264162
