xs,ys
307154.01642094133,3390615.621250757
307155.69053433713,3390590.838646972
307158.00899741985,3390566.2235786854
307160.93927258666,3390541.765033161
307164.4488222342,3390517.451997658
307168.50510875945,3390493.2734594364
307173.07559455914,3390469.218405755
307178.1277420304,3390445.2758238795
307183.6290135699,3390421.434701066
307189.5468715746,3390397.684024577
307195.84877844143,3390374.012781673
307202.5021965672,3390350.409959614
307209.47458834876,3390326.8645456606
307216.73341618304,3390303.365527074
307224.24614246696,3390279.9018911147
307231.9802295973,3390256.462625043
307239.90313997096,3390233.0367161194
307247.98233598494,3390209.613151604
307256.1848487653,3390186.1812750367
307264.47316578927,3390162.734183516
307272.8070518602,3390139.2672233772
307281.14623492165,3390115.775771403
307289.4504429172,3390092.2552043786
307297.67940379045,3390068.700899086
307305.7928454849,3390045.1082323077
307313.75049594435,3390021.4725808315
307321.5120831124,3389997.7893214384
307329.03733493236,3389974.0538309123
307336.2859793482,3389950.261486038
307343.2177443032,3389926.407663597
307349.79235774133,3389902.487740376
307355.9695476058,3389878.497093157
307361.7090418405,3389854.431098723
307366.97077317093,3389830.2851612754
307371.7354557043,3389806.057467167
307376.0221750726,3389781.751339828
307379.85416008456,3389757.370657366
307383.2546395492,3389732.919297886
307386.2468422754,3389708.401139496
307388.85399707203,3389683.820060305
307391.09933274804,3389659.1799384165
307393.00607811235,3389634.4846519404
307394.5974619738,3389609.7380789802
307395.89671314147,3389584.944097647
307396.92706042394,3389560.106586044
307397.7117326304,3389535.229422281
307398.2739585696,3389510.3164844643
307398.63696705055,3389485.3716507
307398.823986882,3389460.398799095
307398.85824687296,3389435.401807756
307398.7629758324,3389410.3845547917
307398.5614025691,3389385.350918308
307398.276755892,3389360.3047764115
307397.93226461,3389335.2500072094
307397.551157532,3389310.1904888093
307397.156663467,3389285.130099317
307396.7720112237,3389260.0727168405
307396.4204296111,3389235.0222194856
307396.1251474382,3389209.98248536
307395.90939351387,3389184.9573925715
307395.7963966469,3389159.950819226
307395.80938564625,3389134.9666434308
307395.97158932086,3389110.0087432917
307396.30623647955,3389085.080996917
307396.8365559313,3389060.187282414
307397.58577648504,3389035.3314778884
307398.57712694956,3389010.5174614475
307399.83335863356,3388985.7490214678
307401.35861131066,3388961.0264489087
307403.132819495,3388936.3454861557
307405.13429718063,3388911.7015710706
307407.3413583622,3388887.0901415176
307409.73231703363,3388862.506635359
307412.2854871895,3388837.9464904596
307414.97918282374,3388813.40514468
307417.79171793093,3388788.8780358834
307420.7014065052,3388764.3606019346
307423.6865625408,3388739.8482806953
307426.7255000321,3388715.3365100287
307429.7965329733,3388690.8207277986
307432.8779753587,3388666.296371867
307435.9481411826,3388641.7588800974
307438.9853444392,3388617.203690353
307441.9678991229,3388592.6262404965
307444.8743799765,3388568.022033669
307447.70747817366,3388543.392610487
307450.51317733637,3388518.7503497032
307453.3419736222,3388494.108759772
307456.24436318845,3388469.4813491446
307459.2708421928,3388444.8816262735
307462.4719067928,3388420.3230996127
307465.89805314573,3388395.819277613
307469.5997774093,3388371.383668728
307473.6275757409,3388347.029781411
307478.031944298,3388322.7711241134
307482.8633792383,3388298.621205289
307488.1723767191,3388274.59353339
307494.009432898,3388250.7016168684
307500.4250439325,3388226.9589641783
307507.46970598004,3388203.379083771
307515.19391519827,3388179.9754841
307523.6465896675,3388156.761236431
307532.7520026637,3388133.714880841
307542.2216916418,3388110.756021752
307551.74640358717,3388087.7985038706
307561.0168854856,3388064.756171899
307569.7238843225,3388041.54287054
307577.5581470832,3388018.0724444957
307584.21042075346,3387994.258738471
307589.37420147954,3387970.0169568253
307592.9068401639,3387945.3433417985
307594.91903500905,3387920.3594339713
307595.5432043496,3387895.197516081
307594.9117665198,3387869.989870865
307593.15713985445,3387844.8687810586
307590.41174268787,3387819.966529401
307586.8079933546,3387795.4153986275
307582.4783101891,3387771.3476714757
307577.5418541944,3387747.8911655345
307571.91202937264,3387725.1043982077
307565.33998184494,3387702.991237476
307557.5724543567,3387681.5540682385
307548.35618965357,3387660.795275393
307537.4379304811,3387640.7172438405
307524.56441958464,3387621.322358477
307509.5096691,3387602.6211899174
307492.3743095542,3387584.7223529676
307473.4743486943,3387567.7991142897
307453.1295989734,3387552.0258826427
307431.65987284406,3387537.577066781
307409.3849827595,3387524.6270754654
307386.6202343609,3387513.345295486
307363.5485858233,3387503.7536380705
307340.202423784,3387495.706231696
307316.6059642288,3387489.0481002363
307292.7834231431,3387483.6242675604
307268.7590165122,3387479.2797575407
307244.5569603217,3387475.859594048
307220.20147055696,3387473.2088009547
307195.7167632036,3387471.1724021314
307171.12705424713,3387469.59542145
307146.45655967284,3387468.3228827817
307121.72949546634,3387467.1998099987
307096.9700776129,3387466.071226971
307072.2025220982,3387464.7821575706
307047.4510449077,3387463.17762567
307022.73986202676,3387461.102655139
306998.0933446831,3387458.4027327215
306973.5493638143,3387454.963595994
306949.1695602343,3387450.74185497
306925.0179924662,3387445.701328325
306901.158719033,3387439.805834732
306877.6557984576,3387433.019192864
306854.5732892631,3387425.3052213956
306831.97524997237,3387416.6277390006
306809.9257391083,3387406.9505643505
306788.488815194,3387396.2375161205
306767.7285367525,3387384.452412985
306747.7089623065,3387371.559073616
306728.49415037915,3387357.521316686
306710.14815949346,3387342.302960872
306692.73504817224,3387325.867824844
306676.3181280593,3387308.180450156
306660.8663921928,3387289.2966660117
306646.1634910554,3387269.451688145
306631.9714756132,3387248.9016376976
306618.0523968321,3387227.9026358123
306604.1683056782,3387206.710803632
306590.08133866603,3387185.582216707
306575.59832938574,3387164.749129467
306560.6439070036,3387144.381017687
306545.1618779485,3387124.6371366945
306529.0960486492,3387105.676741821
306512.39022553497,3387087.659088399
306494.9882150347,3387070.743431756
