xs,ys
307118.35460484657,3390674.4453358646
307126.19283301005,3390650.4101856574
307133.5843632447,3390626.381450932
307140.58509886713,3390602.361600915
307147.2509431944,3390578.353104835
307153.63779954315,3390554.358431919
307159.8015712303,3390530.3800513926
307165.79816157254,3390506.4204324847
307171.6834738867,3390482.482044421
307177.5134114895,3390458.5673564286
307183.343877698,3390434.678837737
307189.2307758287,3390410.818957571
307195.2300091986,3390386.9901851583
307201.3974811245,3390363.194989726
307207.7890949231,3390339.4358405015
307214.4607539112,3390315.715206711
307221.4683614058,3390292.035557584
307228.86128624034,3390268.398755557
307236.62096143665,3390244.8003545958
307244.68852373335,3390221.2321667774
307253.0045805417,3390197.685955028
307261.50973927317,3390174.15348227
307270.14460733894,3390150.626511429
307278.84979215055,3390127.0968054305
307287.56590111903,3390103.5561271976
307296.23354165594,3390079.9962396557
307304.79332117265,3390056.40890573
307313.18584708037,3390032.7858883445
307321.35172679054,3390009.118950426
307329.2315677143,3389985.3998548943
307336.76597726316,3389961.620364679
307343.8955628484,3389937.7722427016
307350.5609318815,3389913.847251889
307356.70307472046,3389889.837210755
307362.29244468233,3389865.738214767
307367.3493433663,3389841.5535955625
307371.89888922026,3389817.287384003
307375.9662006923,3389792.943610955
307379.57639623055,3389768.5263072867
307382.754594283,3389744.0395038603
307385.52591329766,3389719.4872315438
307387.91547172266,3389694.8735212022
307389.948388006,3389670.2024036995
307391.64978059573,3389645.477909904
307393.0447679399,3389620.70407068
307394.1584684865,3389595.8849168927
307395.01600068354,3389571.024479408
307395.64248297916,3389546.1267890916
307396.06303382135,3389521.195876809
307396.3027716583,3389496.235773426
307396.38681493787,3389471.2505098083
307396.34028210817,3389446.2441168213
307396.18829161715,3389421.2206253307
307395.9559619131,3389396.1840662025
307395.66841144365,3389371.1384703
307395.3507586573,3389346.087868492
307395.02812200185,3389321.0362916435
307394.7256199253,3389295.987770617
307394.4683708759,3389270.946336282
307394.2814933015,3389245.9160195026
307394.19010565017,3389220.9008511435
307394.21932637005,3389195.9048620714
307394.3942739091,3389170.9320831522
307394.7400667154,3389145.9865452503
307395.2818232369,3389121.0722792316
307396.0446619218,3389096.193315963
307397.05370121816,3389071.3536863094
307398.33365669555,3389046.5573562887
307399.8892328676,3389021.8050709814
307401.6962992011,3388997.0929342355
307403.72848332545,3388972.416689057
307405.9594128698,3388947.7720784512
307408.3627154635,3388923.154845424
307410.91201873583,3388898.5607329835
307413.58095031616,3388873.9854841344
307416.3431378336,3388849.4248418817
307419.17220891756,3388824.874549234
307422.04179119726,3388800.3303491944
307424.92551230214,3388775.7879847726
307427.79699986125,3388751.2431989703
307430.62988150405,3388726.691734797
307433.39778485993,3388702.129335258
307436.0743375579,3388677.5517433593
307438.63316722744,3388652.954702106
307441.0480821909,3388628.333989559
307443.3181280724,3388603.6902796645
307445.49329322256,3388579.034128954
307447.6296973736,3388554.3772834153
307449.78346025804,3388529.7314890325
307452.0107016081,3388505.108491791
307454.3675411561,3388480.520037676
307456.9100986346,3388455.977872673
307459.69449377584,3388431.4937427677
307462.77684631216,3388407.079393945
307466.21327597584,3388382.746572188
307470.05990249943,3388358.5070234854
307474.3728456152,3388334.372493821
307479.20822505536,3388310.3547291793
307484.62216055254,3388286.4654755467
307490.6707718389,3388262.716478908
307497.41017864685,3388239.119485249
307504.8965007088,3388215.6862405534
307513.15285212436,3388192.4225934213
307522.04260826315,3388169.3058506274
307531.3808849753,3388146.304696023
307540.9827878862,3388123.387811634
307550.66342262126,3388100.523879484
307560.23789480596,3388077.6815815987
307569.5213100654,3388054.8296000026
307578.32877402526,3388031.9366167197
307586.4753923107,3388008.9713137764
307593.7762705473,3387985.9023731966
307600.04651436035,3387962.698477005
307605.1012293752,3387939.328307227
307608.7555212174,3387915.7605458884
307610.8244955121,3387891.963875011
307611.123257885,3387867.9069766225
307609.4800069136,3387843.5664933175
307605.88565376436,3387819.017997643
307600.4413000585,3387794.40405841
307593.2501330848,3387769.868512528
307584.4153401319,3387745.5551969055
307574.0401084884,3387721.607948449
307562.2276254429,3387698.1706040693
307549.08107828395,3387675.38700067
307534.70365430025,3387653.400975164
307519.1985407804,3387632.3563644565
307502.66892501304,3387612.3970054565
307485.21799428674,3387593.666735071
307466.9489358901,3387576.3093902096
307447.9649371119,3387560.46880778
307428.36229826644,3387546.2670739936
307408.18687378074,3387533.6669549956
307387.4620841969,3387522.5603654073
307366.2112479564,3387512.838897391
307344.45768350136,3387504.3941431143
307322.22470927297,3387497.117694738
