xs,ys
307409.99999999994,3389699.9999999995
307410.0,3389670.0
307410.0,3389640.0
307410.0,3389610.0000000005
307410.00000000006,3389580.0000000005
307410.00000000006,3389550.0000000005
307410.00000000006,3389520.0000000005
307410.00000000006,3389490.0000000005
307410.00000000006,3389460.0000000005
307410.00000000006,3389430.0
307409.9999999954,3389399.9999999492
307409.9999999954,3389369.9999999492
307409.9999999954,3389339.999999949
307409.9999999954,3389309.9999999483
307409.9999999954,3389279.9999999483
307409.9999999954,3389249.999999949
307409.9999999954,3389219.999999949
307409.9999999954,3389189.999999949
307409.9999999954,3389159.999999949
307408.3229813619,3389129.9999999483
307407.57763974695,3389099.9999999492
307407.66590388556,3389069.9999999497
307408.48970251257,3389039.9999999492
307409.9509643628,3389009.9999999492
307411.95161817124,3388979.999999949
307414.3935926727,3388949.999999949
307417.1788166021,3388919.999999949
307420.20921869425,3388889.9999999483
307421.70970905054,3388859.9999999483
307424.1909120581,3388829.999999949
307427.4566851866,3388799.9999999483
307431.3108859058,3388769.9999999483
307435.5573716855,3388739.9999999497
307439.99999999534,3388709.9999999492
307444.4426283053,3388679.9999999497
307448.68911408493,3388649.999999949
307452.5433148041,3388619.999999949
307455.8090879326,3388589.999999949
307456.6132723066,3388559.999999949
307457.3684210479,3388529.999999949
307460.4870872788,3388499.9999999483
307462.41909120156,3388468.3229813143
307465.5769859385,3388437.5776397004
307469.666557694,3388407.6659038384
307472.71657403925,3388376.812683832
307477.0415168309,3388347.528604067
307482.2491010087,3388319.617522015
307486.27002287866,3388291.2062765104
307491.32069303235,3388264.707420675
307499.6175220614,3388239.826740714
307507.4141876383,3388214.5930041987
307516.92710035486,3388191.320692986
307527.6659038855,3388169.6175220157
307539.1402419045,3388149.091206225
307550.8597580862,3388129.3494605566
307562.33409610507,3388109.999999949
307573.07289963565,3388090.6505393405
307582.58581235225,3388070.9087936715
307590.38247792923,3388050.3824778823
307600.35632559186,3388028.679306912
307607.829355994,3388005.4069956983
307612.5073553402,3387980.1732591833
307618.4798953859,3387953.6155605894
307621.2651193153,3387926.3713631397
307620.76495586324,3387898.0483817733
307621.26511931536,3387869.284079713
307618.47989538603,3387840.7159201843
307614.1843739738,3387810.2745994916
307608.574697609,3387782.8832951435
307601.9450800869,3387754.795684813
307591.9810395508,3387728.228179092
307583.45864661195,3387703.7201699386
307574.25956194376,3387680.134030678
307562.36351748474,3387659.588100635
307550.13403072435,3387639.816933587
307537.3259234997,3387622.8407975947
307523.7920889133,3387606.2961751693
307509.4834913323,3387590.428244473
307494.4491663896,3387575.3841124033
307478.83622098254,3387561.2128145937
307460.1830663569,3387547.865315411
307440.41189930873,3387536.8715265915
307419.86596926634,3387525.377574319
307396.2798300052,3387515.84504735
307371.77182085183,3387506.351748886
307346.8813337646,3387496.5544295013
307319.5390650494,3387488.7185354186
307292.05949656287,3387480.7257273113
307262.4713958764,3387474.7433801387
307233.18731611175,3387468.5550833093
307202.3340961051,3387465.9071591515
307172.4223602438,3387461.876430155
307141.67701862886,3387458.5322000138
307108.32298136177,3387457.943772423
307077.57763974695,3387455.187969873
307047.66590388556,3387452.3340960583
307016.812683879,3387448.744687755
306987.5286041144,3387443.7822817406
306957.9405034279,3387439.516181708
306928.78391630785,3387435.4069956997
306902.37332461134,3387429.3363843886
