date,year,month,day,xs,ys
19861026,1986,10,26,307140.22303783183,3390509.285714285
19861026,1986,10,26,307149.2772444947,3390491.118012422
19861026,1986,10,26,307158.4843531755,3390471.5055425125
19861026,1986,10,26,307167.8377762589,3390450.567228348
19861026,1986,10,26,307177.3309261296,3390428.4219937203
19861026,1986,10,26,307186.95721517236,3390405.188762421
19861026,1986,10,26,307196.71005577187,3390380.9864582415
19861026,1986,10,26,307206.5828603129,3390355.934004974
19861026,1986,10,26,307216.5690411801,3390330.1503264103
19861026,1986,10,26,307226.6620107581,3390303.7543463414
19861026,1986,10,26,307236.85518142715,3390276.8649885072
19861026,1986,10,26,307247.32919254195,3390250.3661326715
19861026,1986,10,26,307257.5580254939,3390222.5433147573
19861026,1986,10,26,307269.5619483444,3390195.8090878855
19861026,1986,10,26,307281.0755148695,3390168.2902908945
19861026,1986,10,26,307289.83327884466,3390139.7907812498
19861026,1986,10,26,307300.56227524864,3390112.8211833416
19861026,1986,10,26,307310.99705785734,3390085.606407271
19861026,1986,10,26,307318.8721804464,3390058.0483817733
19861026,1986,10,26,307326.20791107736,3390030.0490355813
19861026,1986,10,26,307335.0245178116,3390001.510297431
19861026,1986,10,26,307343.05655442487,3389972.334096058
19861026,1986,10,26,307352.4223602438,3389942.422360197
19861026,1986,10,26,307360.9545603092,3389911.677018582
19861026,1986,10,26,307368.1627982955,3389879.9999999483
19861026,1986,10,26,307376.26348479436,3389849.9999999492
19861026,1986,10,26,307383.1873161118,3389819.999999949
19861026,1986,10,26,307388.54200718726,3389789.999999949
19861026,1986,10,26,307394.6420398777,3389759.9999999483
19861026,1986,10,26,307399.5161817541,3389729.999999949
19861026,1986,10,26,307402.8702190212,3389699.999999949
19861026,1986,10,26,307407.11670480086,3389669.999999949
19861026,1986,10,26,307410.38247792935,3389639.999999949
19861026,1986,10,26,307412.4713958764,3389609.999999949
19861026,1986,10,26,307413.18731611175,3389579.999999948
19861026,1986,10,26,307412.33409610525,3389549.999999949
19861026,1986,10,26,307412.42236024386,3389519.9999999483
19861026,1986,10,26,307411.6770186289,3389489.999999949
19861026,1986,10,26,307409.9999999954,3389459.999999949
19861026,1986,10,26,307409.9999999954,3389429.9999999483
19861026,1986,10,26,307409.9999999954,3389399.9999999492
19861026,1986,10,26,307409.9999999954,3389369.9999999492
19861026,1986,10,26,307409.9999999954,3389339.999999949
19861026,1986,10,26,307409.9999999954,3389309.9999999483
19861026,1986,10,26,307409.9999999954,3389279.9999999483
19861026,1986,10,26,307408.3229813619,3389249.999999949
19861026,1986,10,26,307407.57763974695,3389219.999999949
19861026,1986,10,26,307407.66590388556,3389189.999999949
19861026,1986,10,26,307408.48970251257,3389159.999999949
19861026,1986,10,26,307409.9509643628,3389129.9999999483
19861026,1986,10,26,307411.95161817124,3389099.9999999492
19861026,1986,10,26,307414.3935926727,3389069.9999999497
19861026,1986,10,26,307417.1788166021,3389039.9999999492
19861026,1986,10,26,307420.20921869425,3389009.9999999492
19861026,1986,10,26,307423.3867276841,3388979.999999949
19861026,1986,10,26,307426.61327230657,3388949.999999949
19861026,1986,10,26,307429.7907812964,3388919.999999949
19861026,1986,10,26,307432.8211833886,3388889.9999999483
19861026,1986,10,26,307433.92938868445,3388859.9999999483
19861026,1986,10,26,307435.62602157105,3388829.999999949
19861026,1986,10,26,307437.7149395181,3388799.9999999483
19861026,1986,10,26,307439.99999999534,3388769.9999999483
19861026,1986,10,26,307442.28506047267,3388739.9999999497
19861026,1986,10,26,307444.3739784197,3388709.9999999492
19861026,1986,10,26,307446.07061130623,3388679.9999999497
