date,year,month,day,xs,ys
20120721,2012,07,21,307167.4929418406,3390569.9999999995
20120721,2012,07,21,307173.0152456238,3390540.0
20120721,2012,07,21,307179.242770959,3390510.0000000005
20120721,2012,07,21,307186.0694225683,3390480.000000001
20120721,2012,07,21,307193.38910517405,3390450.000000001
20120721,2012,07,21,307201.09572349855,3390420.0000000014
20120721,2012,07,21,307209.08318226406,3390390.0000000014
20120721,2012,07,21,307217.24538619287,3390360.000000001
20120721,2012,07,21,307225.47624000727,3390330.000000001
20120721,2012,07,21,307233.6696484295,3390300.000000001
20120721,2012,07,21,307241.7195161771,3390269.9999999483
20120721,2012,07,21,307249.77116704336,3390239.9999999483
20120721,2012,07,21,307255.26315789006,3390209.9999999483
20120721,2012,07,21,307260.4118993088,3390179.9999999497
20120721,2012,07,21,307267.4338018914,3390149.9999999492
20120721,2012,07,21,307272.5825433101,3390118.3229813147
20120721,2012,07,21,307278.0745341569,3390087.5776396994
20120721,2012,07,21,307281.74239947234,3390055.9888852057
20120721,2012,07,21,307285.7044785831,3390026.0673422175
20120721,2012,07,21,307292.0791108159,3389997.616868206
20120721,2012,07,21,307298.6989212114,3389970.4413206414
20120721,2012,07,21,307307.78032036143,3389944.3445569933
20120721,2012,07,21,307317.25400457194,3389919.1304347315
20120721,2012,07,21,307326.72768878244,3389894.602811325
20120721,2012,07,21,307334.13206929894,3389870.5655442434
20120721,2012,07,21,307341.68355671316,3389846.822490958
20120721,2012,07,21,307348.8917946995,3389823.1775089386
20120721,2012,07,21,307357.9731938495,3389799.4344556537
20120721,2012,07,21,307366.8584504694,3389775.3971885727
20120721,2012,07,21,307375.1552794985,3389750.869565166
20120721,2012,07,21,307382.4713958764,3389725.6554429047
20120721,2012,07,21,307388.4145145426,3389699.5586792557
20120721,2012,07,21,307392.5923504367,3389672.383131691
20120721,2012,07,21,307397.31938541547,3389643.9326576795
20120721,2012,07,21,307400.62438705,3389614.0111146923
20120721,2012,07,21,307402.2131415449,3389582.4223601967
20120721,2012,07,21,307404.4982020222,3389551.677018582
20120721,2012,07,21,307405.60640731803,3389519.9999999483
20120721,2012,07,21,307408.0483818195,3389489.999999949
20120721,2012,07,21,307410.049035628,3389459.999999949
20120721,2012,07,21,307411.51029747823,3389429.9999999483
20120721,2012,07,21,307412.33409610525,3389399.9999999492
20120721,2012,07,21,307412.42236024386,3389369.9999999492
20120721,2012,07,21,307411.6770186289,3389339.999999949
20120721,2012,07,21,307409.9999999954,3389309.9999999483
20120721,2012,07,21,307409.9999999954,3389279.9999999483
20120721,2012,07,21,307409.9999999954,3389249.999999949
20120721,2012,07,21,307409.9999999954,3389219.999999949
20120721,2012,07,21,307409.9999999954,3389189.999999949
20120721,2012,07,21,307409.9999999954,3389159.999999949
20120721,2012,07,21,307409.9999999954,3389129.9999999483
20120721,2012,07,21,307408.3229813619,3389099.9999999492
20120721,2012,07,21,307407.57763974695,3389069.9999999497
20120721,2012,07,21,307407.66590388556,3389039.9999999492
20120721,2012,07,21,307408.48970251257,3389009.9999999492
20120721,2012,07,21,307409.9509643628,3388979.999999949
20120721,2012,07,21,307411.95161817124,3388949.999999949
20120721,2012,07,21,307414.3935926727,3388919.999999949
20120721,2012,07,21,307417.1788166021,3388889.9999999483
20120721,2012,07,21,307420.20921869425,3388859.9999999483
20120721,2012,07,21,307423.3867276841,3388829.999999949
20120721,2012,07,21,307424.936253673,3388799.9999999483
20120721,2012,07,21,307427.368421048,3388769.9999999483
20120721,2012,07,21,307430.4870872788,3388739.9999999497
20120721,2012,07,21,307434.0961098352,3388709.9999999492
20120721,2012,07,21,307437.999346187,3388679.9999999497
20120721,2012,07,21,307442.0006538038,3388649.999999949
20120721,2012,07,21,307445.9038901555,3388619.999999949
20120721,2012,07,21,307449.51291271194,3388589.999999949
20120721,2012,07,21,307450.9545603092,3388559.999999949
20120721,2012,07,21,307452.64138606924,3388529.999999949
20120721,2012,07,21,307454.2791761967,3388499.9999999483
20120721,2012,07,21,307456.6034651801,3388469.999999948
20120721,2012,07,21,307460.3497875076,3388439.9999999492
20120721,2012,07,21,307465.2239293841,3388409.999999949
20120721,2012,07,21,307469.2546583805,3388378.3229813147
20120721,2012,07,21,307474.75645635364,3388347.5776397004
20120721,2012,07,21,307481.33703824313,3388317.665903839
20120721,2012,07,21,307486.9271003549,3388288.489702466
20120721,2012,07,21,307493.7430532808,3388259.9509643163
20120721,2012,07,21,307501.294540695,3388231.951618125
20120721,2012,07,21,307507.4141876383,3388204.3935926263
20120721,2012,07,21,307516.92710035486,3388177.1788165555
20120721,2012,07,21,307527.6659038855,3388150.209218648
20120721,2012,07,21,307539.1402419045,3388123.386727637
20120721,2012,07,21,307549.18273945263,3388096.6132722595
20120721,2012,07,21,307559.9117358567,3388069.7907812493
20120721,2012,07,21,307570.73880352586,3388042.821183342
20120721,2012,07,21,307581.0755148695,3388015.6064072708
20120721,2012,07,21,307592.0104609303,3387988.0483817724
20120721,2012,07,21,307603.05328538275,3387960.049035581
20120721,2012,07,21,307612.13468453276,3387931.510297432
20120721,2012,07,21,307620.5393919535,3387902.3340960587
20120721,2012,07,21,307627.97319384955,3387872.422360197
20120721,2012,07,21,307634.2399476906,3387839.9999999492
20120721,2012,07,21,307636.5348152944,3387807.5776397004
20120721,2012,07,21,307639.1435109466,3387775.988885205
20120721,2012,07,21,307637.7803203615,3387746.067342217
20120721,2012,07,21,307634.2203334377,3387715.939849573
20120721,2012,07,21,307628.6596927054,3387688.018960393
20120721,2012,07,21,307621.39261196007,3387660.3334422503
