date,year,month,day,xs,ys
19891205,1989,12,05,307101.8944099377,3390504.3845285135
19891205,1989,12,05,307119.181253529,3390491.2648221334
19891205,1989,12,05,307134.8664150494,3390476.03167999
19891205,1989,12,05,307149.0986359178,3390458.88793129
19891205,1989,12,05,307162.0266575529,3390440.036405242
19891205,1989,12,05,307173.79922137357,3390419.6799310525
19891205,1989,12,05,307184.56506879843,3390398.0213379296
19891205,1989,12,05,307194.47294124635,3390375.2634550803
19891205,1989,12,05,307203.67158013606,3390351.609111712
19891205,1989,12,05,307212.30972688633,3390327.261137032
19891205,1989,12,05,307220.5361229114,3390302.422360197
19891205,1989,12,05,307229.58810068184,3390279.18927749
19891205,1989,12,05,307237.90454396396,3390254.632232704
19891205,1989,12,05,307245.8287021856,3390230.967636431
19891205,1989,12,05,307253.7038247747,3390206.126184976
19891205,1989,12,05,307263.5501797927,3390182.4223601967
19891205,1989,12,05,307273.10232101526,3390157.8849296654
19891205,1989,12,05,307280.0948022183,3390132.2196795833
19891205,1989,12,05,307289.25465838047,3390107.8391630733
19891205,1989,12,05,307298.3164432774,3390082.870218974
19891205,1989,12,05,307307.7214776024,3390057.1167047545
19891205,1989,12,05,307317.91108204826,3390030.382477883
19891205,1989,12,05,307328.2968290244,3390002.471395829
19891205,1989,12,05,307338.2902909401,3389973.1873160643
19891205,1989,12,05,307347.30304020457,3389942.3340960587
19891205,1989,12,05,307357.4534161445,3389912.4223601967
19891205,1989,12,05,307366.57404380053,3389881.6770185814
19891205,1989,12,05,307374.1745668473,3389849.9999999492
19891205,1989,12,05,307382.47139587643,3389819.999999949
19891205,1989,12,05,307389.39522719383,3389789.999999949
19891205,1989,12,05,307394.5537757391,3389759.9999999483
19891205,1989,12,05,307400.26152336906,3389729.999999949
19891205,1989,12,05,307404.54723765474,3389699.999999949
19891205,1989,12,05,307407.11670480086,3389669.999999949
19891205,1989,12,05,307410.38247792935,3389639.999999949
19891205,1989,12,05,307412.4713958764,3389609.999999949
19891205,1989,12,05,307413.18731611175,3389579.999999948
19891205,1989,12,05,307412.33409610525,3389549.999999949
19891205,1989,12,05,307412.42236024386,3389519.9999999483
19891205,1989,12,05,307411.6770186289,3389489.999999949
19891205,1989,12,05,307409.9999999954,3389459.999999949
19891205,1989,12,05,307409.9999999954,3389429.9999999483
19891205,1989,12,05,307409.9999999954,3389399.9999999492
19891205,1989,12,05,307409.9999999954,3389369.9999999492
19891205,1989,12,05,307409.9999999954,3389339.999999949
19891205,1989,12,05,307409.9999999954,3389309.9999999483
