date,year,month,day,x,y
19970821,1997,08,21,306630.0,3387150.0
19970821,1997,08,21,306600.0,3387150.0
19970821,1997,08,21,306600.0,3387120.0
19970821,1997,08,21,306570.0,3387120.0
19970821,1997,08,21,306570.0,3387090.0
19970821,1997,08,21,306540.0,3387090.0
19970821,1997,08,21,306540.0,3387060.0
19970821,1997,08,21,306510.0,3387060.0
19970821,1997,08,21,306510.0,3387030.0
19970821,1997,08,21,306480.0,3387030.0
19970821,1997,08,21,306480.0,3387000.0
19970821,1997,08,21,306450.0,3387000.0
19970821,1997,08,21,306450.0,3386970.0
19970821,1997,08,21,306420.0,3386970.0
19970821,1997,08,21,306390.0,3386970.0
19970821,1997,08,21,306360.0,3386940.0
19970821,1997,08,21,306330.0,3386940.0
19970821,1997,08,21,306300.0,3386940.0
19970821,1997,08,21,306270.0,3386910.0
19970821,1997,08,21,306240.0,3386910.0
19970821,1997,08,21,306210.0,3386910.0
19970821,1997,08,21,306180.0,3386910.0
19970821,1997,08,21,306150.0,3386910.0
19970821,1997,08,21,306120.0,3386910.0
19970821,1997,08,21,306090.0,3386880.0
19970821,1997,08,21,306060.0,3386880.0
19970821,1997,08,21,306030.0,3386880.0
19970821,1997,08,21,306000.0,3386880.0
19970821,1997,08,21,305970.0,3386880.0
19970821,1997,08,21,305940.0,3386880.0
19970821,1997,08,21,305910.0,3386850.0
19970821,1997,08,21,305880.0,3386850.0
19970821,1997,08,21,305850.0,3386850.0
19970821,1997,08,21,305850.0,3386820.0
19970821,1997,08,21,305820.0,3386820.0
19970821,1997,08,21,305790.0,3386790.0
19970821,1997,08,21,305760.0,3386790.0
19970821,1997,08,21,305730.0,3386790.0
19970821,1997,08,21,305730.0,3386760.0
19970821,1997,08,21,305700.0,3386760.0
19970821,1997,08,21,305700.0,3386730.0
19970821,1997,08,21,305670.0,3386730.0
19970821,1997,08,21,305640.0,3386730.0
19970821,1997,08,21,305640.0,3386700.0
19970821,1997,08,21,305610.0,3386700.0
19970821,1997,08,21,305580.0,3386700.0
19970821,1997,08,21,305550.0,3386670.0
19970821,1997,08,21,305520.0,3386670.0
19970821,1997,08,21,305490.0,3386670.0
19970821,1997,08,21,305460.0,3386640.0
19970821,1997,08,21,305430.0,3386640.0
19970821,1997,08,21,305400.0,3386640.0
19970821,1997,08,21,305370.0,3386610.0
19970821,1997,08,21,305340.0,3386610.0
19970821,1997,08,21,305340.0,3386580.0
19970821,1997,08,21,305310.0,3386580.0
19970821,1997,08,21,305310.0,3386550.0
19970821,1997,08,21,305280.0,3386550.0
19970821,1997,08,21,305280.0,3386520.0
19970821,1997,08,21,305250.0,3386520.0
19970821,1997,08,21,305250.0,3386490.0
19970821,1997,08,21,305220.0,3386490.0
19970821,1997,08,21,305220.0,3386460.0
19970821,1997,08,21,305190.0,3386460.0
19970821,1997,08,21,305190.0,3386430.0
19970821,1997,08,21,305190.0,3386400.0
19970821,1997,08,21,305190.0,3386370.0
19970821,1997,08,21,305190.0,3386340.0
19970821,1997,08,21,305190.0,3386310.0
19970821,1997,08,21,305220.0,3386310.0
19970821,1997,08,21,305220.0,3386280.0
19970821,1997,08,21,305220.0,3386250.0
19970821,1997,08,21,305250.0,3386250.0
19970821,1997,08,21,305250.0,3386220.0
19970821,1997,08,21,305250.0,3386190.0
19970821,1997,08,21,305280.0,3386190.0
19970821,1997,08,21,305280.0,3386160.0
19970821,1997,08,21,305280.0,3386130.0
19970821,1997,08,21,305310.0,3386130.0
19970821,1997,08,21,305310.0,3386100.0
19970821,1997,08,21,305310.0,3386070.0
19970821,1997,08,21,305310.0,3386040.0
19970821,1997,08,21,305310.0,3386010.0
19970821,1997,08,21,305310.0,3385980.0
19970821,1997,08,21,305310.0,3385950.0
19970821,1997,08,21,305310.0,3385920.0
19970821,1997,08,21,305280.0,3385920.0
19970821,1997,08,21,305280.0,3385890.0
19970821,1997,08,21,305250.0,3385890.0
19970821,1997,08,21,305220.0,3385890.0
19970821,1997,08,21,305220.0,3385860.0
19970821,1997,08,21,305190.0,3385860.0
19970821,1997,08,21,305160.0,3385860.0
19970821,1997,08,21,305160.0,3385830.0
19970821,1997,08,21,305130.0,3385830.0
19970821,1997,08,21,305100.0,3385830.0
19970821,1997,08,21,305100.0,3385800.0
19970821,1997,08,21,305070.0,3385800.0
19970821,1997,08,21,305040.0,3385770.0
19970821,1997,08,21,305010.0,3385770.0
19970821,1997,08,21,304980.0,3385770.0
19970821,1997,08,21,304950.0,3385740.0
19970821,1997,08,21,304920.0,3385740.0
19970821,1997,08,21,304890.0,3385740.0
19970821,1997,08,21,304890.0,3385710.0
19970821,1997,08,21,304860.0,3385710.0
19970821,1997,08,21,304830.0,3385710.0
19970821,1997,08,21,304830.0,3385680.0
19970821,1997,08,21,304800.0,3385680.0
19970821,1997,08,21,304800.0,3385650.0
19970821,1997,08,21,304800.0,3385620.0
19970821,1997,08,21,304800.0,3385590.0
19970821,1997,08,21,304800.0,3385560.0
19970821,1997,08,21,304800.0,3385530.0
19970821,1997,08,21,304800.0,3385500.0
19970821,1997,08,21,304800.0,3385470.0
19970821,1997,08,21,304830.0,3385470.0
19970821,1997,08,21,304830.0,3385440.0
19970821,1997,08,21,304830.0,3385410.0
19970821,1997,08,21,304860.0,3385380.0
19970821,1997,08,21,304860.0,3385350.0
19970821,1997,08,21,304860.0,3385320.0
19970821,1997,08,21,304890.0,3385320.0
19970821,1997,08,21,304890.0,3385290.0
19970821,1997,08,21,304920.0,3385290.0
19970821,1997,08,21,304920.0,3385260.0
19970821,1997,08,21,304950.0,3385260.0
19970821,1997,08,21,304950.0,3385230.0
19970821,1997,08,21,304950.0,3385200.0
19970821,1997,08,21,304980.0,3385200.0
19970821,1997,08,21,304980.0,3385170.0
19970821,1997,08,21,305010.0,3385170.0
19970821,1997,08,21,305010.0,3385140.0
19970821,1997,08,21,305040.0,3385140.0
19970821,1997,08,21,305040.0,3385110.0
19970821,1997,08,21,305070.0,3385110.0
19970821,1997,08,21,305070.0,3385080.0
19970821,1997,08,21,305070.0,3385050.0
19970821,1997,08,21,305100.0,3385050.0
19970821,1997,08,21,305100.0,3385020.0
19970821,1997,08,21,305130.0,3385020.0
19970821,1997,08,21,305130.0,3384990.0
19970821,1997,08,21,305160.0,3384990.0
19970821,1997,08,21,305160.0,3384960.0
19970821,1997,08,21,305160.0,3384930.0
19970821,1997,08,21,305190.0,3384930.0
19970821,1997,08,21,305190.0,3384900.0
19970821,1997,08,21,305220.0,3384900.0
19970821,1997,08,21,305220.0,3384870.0
19970821,1997,08,21,305220.0,3384840.0
19970821,1997,08,21,305250.0,3384840.0
19970821,1997,08,21,305250.0,3384810.0
19970821,1997,08,21,305280.0,3384810.0
19970821,1997,08,21,305280.0,3384780.0
19970821,1997,08,21,305310.0,3384780.0
19970821,1997,08,21,305310.0,3384750.0
19970821,1997,08,21,305340.0,3384750.0
19970821,1997,08,21,305340.0,3384720.0
19970821,1997,08,21,305370.0,3384720.0
19970821,1997,08,21,305370.0,3384690.0
19970821,1997,08,21,305400.0,3384690.0
19970821,1997,08,21,305400.0,3384660.0
19970821,1997,08,21,305430.0,3384660.0
19970821,1997,08,21,305460.0,3384660.0
19970821,1997,08,21,305460.0,3384630.0
19970821,1997,08,21,305490.0,3384630.0
